[168]   validation_0-logloss:0.60897    validation_0-auc:0.75054        validation_1-logloss:0.61009    validation_1-auc:0.72168
[169]   validation_0-logloss:0.60886    validation_0-auc:0.75067        validation_1-logloss:0.60998    validation_1-auc:0.72173
[170]   validation_0-logloss:0.60872    validation_0-auc:0.75087        validation_1-logloss:0.60985    validation_1-auc:0.72184
[171]   validation_0-logloss:0.60862    validation_0-auc:0.75102        validation_1-logloss:0.60975    validation_1-auc:0.72184
[172]   validation_0-logloss:0.60851    validation_0-auc:0.75117        validation_1-logloss:0.60964    validation_1-auc:0.72181
[173]   validation_0-logloss:0.60844    validation_0-auc:0.75123        validation_1-logloss:0.60958    validation_1-auc:0.72181
[174]   validation_0-logloss:0.60829    validation_0-auc:0.75139        validation_1-logloss:0.60944    validation_1-auc:0.72190
[175]   validation_0-logloss:0.60821    validation_0-auc:0.75149        validation_1-logloss:0.60936    validation_1-auc:0.72193
[176]   validation_0-logloss:0.60804    validation_0-auc:0.75172        validation_1-logloss:0.60920    validation_1-auc:0.72200
[177]   validation_0-logloss:0.60790    validation_0-auc:0.75193        validation_1-logloss:0.60907    validation_1-auc:0.72202
[178]   validation_0-logloss:0.60779    validation_0-auc:0.75209        validation_1-logloss:0.60897    validation_1-auc:0.72206
[179]   validation_0-logloss:0.60760    validation_0-auc:0.75235        validation_1-logloss:0.60879    validation_1-auc:0.72212
[180]   validation_0-logloss:0.60741    validation_0-auc:0.75257        validation_1-logloss:0.60860    validation_1-auc:0.72223
[181]   validation_0-logloss:0.60722    validation_0-auc:0.75283        validation_1-logloss:0.60842    validation_1-auc:0.72238
[182]   validation_0-logloss:0.60709    validation_0-auc:0.75302        validation_1-logloss:0.60830    validation_1-auc:0.72247
[183]   validation_0-logloss:0.60696    validation_0-auc:0.75319        validation_1-logloss:0.60817    validation_1-auc:0.72246
[184]   validation_0-logloss:0.60689    validation_0-auc:0.75328        validation_1-logloss:0.60811    validation_1-auc:0.72245
[185]   validation_0-logloss:0.60678    validation_0-auc:0.75341        validation_1-logloss:0.60801    validation_1-auc:0.72243
[186]   validation_0-logloss:0.60663    validation_0-auc:0.75363        validation_1-logloss:0.60786    validation_1-auc:0.72249
[187]   validation_0-logloss:0.60648    validation_0-auc:0.75382        validation_1-logloss:0.60772    validation_1-auc:0.72249
[188]   validation_0-logloss:0.60631    validation_0-auc:0.75403        validation_1-logloss:0.60756    validation_1-auc:0.72249
[189]   validation_0-logloss:0.60610    validation_0-auc:0.75432        validation_1-logloss:0.60735    validation_1-auc:0.72265
[190]   validation_0-logloss:0.60594    validation_0-auc:0.75451        validation_1-logloss:0.60720    validation_1-auc:0.72269
[191]   validation_0-logloss:0.60588    validation_0-auc:0.75458        validation_1-logloss:0.60715    validation_1-auc:0.72270
[192]   validation_0-logloss:0.60577    validation_0-auc:0.75472        validation_1-logloss:0.60704    validation_1-auc:0.72278
[193]   validation_0-logloss:0.60556    validation_0-auc:0.75499        validation_1-logloss:0.60684    validation_1-auc:0.72292
[194]   validation_0-logloss:0.60524    validation_0-auc:0.75541        validation_1-logloss:0.60653    validation_1-auc:0.72321
[195]   validation_0-logloss:0.60507    validation_0-auc:0.75565        validation_1-logloss:0.60637    validation_1-auc:0.72323
[196]   validation_0-logloss:0.60493    validation_0-auc:0.75586        validation_1-logloss:0.60622    validation_1-auc:0.72321
[197]   validation_0-logloss:0.60474    validation_0-auc:0.75612        validation_1-logloss:0.60604    validation_1-auc:0.72332
[198]   validation_0-logloss:0.60462    validation_0-auc:0.75628        validation_1-logloss:0.60593    validation_1-auc:0.72340
[199]   validation_0-logloss:0.60454    validation_0-auc:0.75638        validation_1-logloss:0.60586    validation_1-auc:0.72338
[200]   validation_0-logloss:0.60433    validation_0-auc:0.75665        validation_1-logloss:0.60566    validation_1-auc:0.72345
[201]   validation_0-logloss:0.60416    validation_0-auc:0.75688        validation_1-logloss:0.60549    validation_1-auc:0.72358
